"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.50204498668884","2.15363123609057","1.77275777834904","1.76635442957503","2.17127326265904","2.21057537126712","2.04265078269294","3.66803325962668","4.78662767565472","3.55060495603088","6.2370903796354",
"Angola","AGO","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4229772001518","7.56572725553244","17.5218461162774","5.70751983877063","4.70650167706635","2.45364114361221","5.99388623603924","2.6424263872936","17.3373711490303","6.39276679164926","4.52435888850332","3.51021632487122","4.72215261583567","4.16241977189774","4.83484198971815","4.7148447849368","3.3622316605321","3.75227736231147","4.39162245531516","4.24827499585397","3.49689761787244","3.59655842055139","5.00630021454866",
"Albania","ALB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.61500470366886","5.16567637335278","5.88830083175259","","4.64945888260734","3.19929790315127","2.50038576236814","2.09971303737436","1.51709550445667","1.37870662927084","1.2288819931238","1.24206452644451","1.2278986601211","1.29960736181529","1.31579371172281","1.35922390513751","1.35350745492471","1.31487718388222","1.54374966770579","1.82076528710928","1.98486885667761","2.06593642885532","1.59311791808497","1.52734367713956","1.49084044944749","1.29758448139421",
"Andean Region","ANR","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.21270303045836","7.92746566746949","12.2469275057116","10.7656694063378","8.02540613429949","8.17199763194694","7.63387737540336","7.12693786375086","6.06783852506692","6.39218299763182","7.26845986880952","6.39800532166808","6.18263979196104","6.59917818606242","6.03483327541972","5.6152165912407","5.17150031782765","4.74060517240296","4.47017490305397","4.56485673417054","4.1823600585488","5.35948571386992","5.0883967395821","5.01855646047029","5.21052053859054","6.00157287118512",
"United Arab Emirates","ARE","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.23125030233088","5.29948113445167","5.01280124852479","5.63157166754963","5.61210504675656","4.87552690304984","4.69231072434317","4.61147388489275","3.65647745569231","3.226126784392","3.28052136989454","3.66802275128722","5.43020602595351","6.0902466054402","5.50259179142502","4.95678439733168","",
"Argentina","ARG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.98087554699177","1.77556383818821","1.36821335532423","1.42013727576134","1.34046362188989","1.34035236367656","1.20281266084583","1.21605067882406","1.02465735706712","0.941206244031002","0.938051073940074","1.00742971407099","0.948375519874625","0.97760792428952","0.901367831626707","0.875787626222164","0.799696413965788","0.762448625002699","0.697879246935856","0.691981963907208","0.682994135143225","0.783761711303846","0.748004873698368","0.723066388397544","0.754254706012401","0.735406393905739",
"Armenia","ARM","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.09548975296484","2.12165247900191","","4.05931197996886","3.28186689273156","3.90384606629595","3.52737382685527","3.6964133057364","3.55848318636087","3.12957956139623","2.70097353214749","2.72675339630061","2.74116858899631","2.87130716570818","2.94783151414857","3.04196186345122","3.39103929356973","4.16978206681773","4.27720607234946","3.86453420610397","3.82430971209697","4.09558429079903",
"American Samoa","ASM","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.34684257237531","2.24404078893243","2.19569214345024","2.20527259753534","2.26752760550598","2.29983175258847","2.1847115195049","2.11484870604652","1.97928514478104","1.95941117108576","1.98907671595217","1.99353804255868","1.92411243677549","2.05708357309492","1.95514274571604","1.98100244489623","1.89226689188405","1.87870511861798","1.89419740522001","1.88854816538014","1.88421581200931","1.93150778530081","1.95252112897702","1.83305122519765","1.70038981986729","1.63204074776996",
