State,Active military,Reserve military,Paramilitary,TotalTotal per 1000 capita,Active per 1000 capita
South Sudan,140000,0,0,140000,3.4,3.4
Suriname,1840,0,0,1840,3.8,3.8
Sweden,20363,200000,800,221163,24.4,2.2
Switzerland,25287,172330,76000,273617,36,3.3
Syria,295000,314000,108000,717000,32.9,13.6
Taiwan, 290000,1657000,17000,1964000,85.5,12.6
Tajikistan,8800,0,7500,16300,2.2,1.2
Tanzania,27000,80000,1400,108400,2.6,0.7
Thailand,305860,200000,158700,664560,10.1,4.6
Leste,1332,0,0,1332,1.3,1.3
Togo,8550,0,750,9300,1.5,1.4
Tobago,4063,0,0,4063,3.3,3.3
Tunisia,35800,0,12000,47800,4.6,3.4
Turkmenistan,22000,0,0,22000,4.5,4.5
Uganda,45000,0,1800,46800,1.4,1.4
Ukraine,129925,1000000,84900,1214825,26.6,2.8
United Arab Emirates,51000,0,0,51000,10.6,10.6
United Kingdom,198810,172550,0,371360,5.8,3.1
United States,1369532,850880,11035,2231447,7.1,4.4
Uruguay,24621,0,818,25439,7.3,7
Uzbekistan,67000,0,20000,87000,3.2,2.4
Venezuela,115000,8000,0,123000,4.6,4.3
Vietnam,482000,5000000,40000,5522000,62.3,5.4
Yemen,66700,0,71200,137900,6,2.9
Zambia,15100,3000,1400,19500,1.6,1.3
Zimbabwe,29000,0,21800,50800,4.5,2.5
